ZINC_ID,standard_smiles
ZINC_77,CCCOc1ccc(-c2cccc3[nH]cnc23)cc1
ZINC_78,CCCOc1ccc(-c2cccc3nccnc23)cc1
ZINC_79,CCCOc1ccc(-c2ccccc2CC(=O)OCC)cc1
ZINC_80,CCCOc1ccc(-c2cccc(C3CC3)n2)cc1
ZINC_81,CCCOc1ccc(-c2ccc(-n3ccnc3)cc2)cc1
ZINC_82,CCCOc1ccc(-c2ccc(SC(C)C)nn2)cc1
ZINC_83,CCCOc1ccc(-c2ccc3c(c2)CCOC3)cc1
ZINC_84,CCCOc1ccc(-c2cc(C)c3[nH]cnc3c2)cc1
ZINC_85,CCCOc1ccc(-c2nc(C)cc3cccnc23)cc1
ZINC_86,CCCOc1ccc(-c2cccc(C3OCCO3)c2)cc1
ZINC_87,CCCOc1ccc(-c2ncccc2CN2CCCC2)cc1
ZINC_88,CCCOc1ccc(-c2cccc(COCC3CC3)n2)cc1
ZINC_89,CCCOc1ccc(-c2ccnc(-c3cncs3)n2)cc1
ZINC_90,CCCOc1ccc(-c2ccc3ncnc(OC)c3c2)cc1
ZINC_91,CCCOc1ccc(-c2ncccc2C(=O)OC(C)C)cc1
ZINC_92,CCCOc1ccc(-c2ccc(F)c(C(=O)OC)c2)cc1
ZINC_93,CCCOc1ccc(-c2cncc(SC)c2)cc1
ZINC_94,CCCOc1ccc(-c2ccc(NC(C)=O)c(F)c2)cc1
ZINC_95,CCCOc1ccc(-c2nc3cccnc3cc2C)cc1
ZINC_96,CCCOc1ccc(-c2cc(C3CCC3)ncn2)cc1
ZINC_97,CCCOc1ccc(-c2cccc(CNC(=O)CC)c2)cc1
ZINC_98,CCCOc1ccc(-c2cc(F)ccc2NC(C)=O)cc1
ZINC_99,CCCOc1ccc(-c2cc(NC(C)=O)ccc2C)cc1
ZINC_100,CCCOc1ccc(-c2ccc(CSC)cn2)cc1
ZINC_101,CCCOc1ccc(-c2nc(CC)cc(CC)n2)cc1
ZINC_102,CCCOc1ccc(-c2ccc(C(=O)OC)c(F)c2)cc1
ZINC_103,CCCOc1ccc(-c2ncccc2OC(C)C)cc1
ZINC_104,CCCOc1ccc(-c2nc(C3CC3)nc3c2CCC3)cc1
ZINC_105,CCCOc1ccc(-c2cc3c(nn2)CC[C@@H](C)C3)cc1
ZINC_106,CCCOc1ccc(-c2cc3c(nn2)CC[C@H](C)C3)cc1
ZINC_107,CCCOc1ccc(-c2ccc3c(c2)COC3)cc1
ZINC_108,CCCOc1ccc(-c2nc(C)nc3c2CCCC3)cc1
ZINC_109,CCCOc1ccc(-c2nnc(C)c3ccccc23)cc1
ZINC_110,CCCOc1ccc(-c2cc(C(C)(C)C)ncn2)cc1
ZINC_111,CCCOc1ccc(-c2ncnc3[nH]cc(SC)c23)cc1
ZINC_112,CCCOc1ccc(-c2ncc(F)c3cc[nH]c23)cc1
ZINC_113,CCCOc1ccc(-c2ccc(C3CCC3)nn2)cc1
ZINC_114,CCCOc1ccc(-c2ncnc3cc(C)sc23)cc1
ZINC_115,CCCOc1ccc(-c2ccc(C(C)(C)C)nn2)cc1
ZINC_116,CCCOc1ccc(-c2nccc(C)c2C(=O)OCC)cc1
ZINC_117,CCCOc1ccc(-c2cncc(SCC)n2)cc1
ZINC_118,CCCOc1ccc(-c2ccc3ncc(F)cc3n2)cc1
ZINC_119,CCCOc1ccc(-c2cc(N3CCCC3)ccn2)cc1
ZINC_120,CCCOc1ccc(-c2cc(C)nc(C(C)C)n2)cc1
ZINC_121,CCCOc1ccc(-c2nccc3ncsc23)cc1
ZINC_122,CCCOc1ccc(-c2nccc3cnccc23)cc1
ZINC_123,CCCOc1ccc(-c2ncnc3cccc(OC)c23)cc1
ZINC_124,CCCOc1ccc(-c2ncc(OC)c3cc[nH]c23)cc1
ZINC_125,CCCOc1ccc(-c2cc3[nH]ccc3c(C)n2)cc1
ZINC_126,CCCOc1ccc(-c2nc(C)nc3cc(C)[nH]c23)cc1
ZINC_127,CCCOc1ccc(-c2cc(CCC)nc(C)n2)cc1
ZINC_128,CCCOc1ccc(-c2nnc(C)cc2C(F)(F)F)cc1
ZINC_129,CCCOc1ccc(-c2ncnc3c(C)c(C)[nH]c23)cc1
ZINC_130,CCCOc1ccc(-c2ncnc3c2ccn3C(C)C)cc1
ZINC_131,CCCOc1ccc(-c2ncccc2C(F)F)cc1
ZINC_132,CCCOc1ccc(-c2ncc(C(F)(F)F)cc2N)cc1
ZINC_133,CCCOc1ccc(-c2ccc(COCC3CC3)cn2)cc1
ZINC_134,CCCOc1ccc(-c2ncc3cc(C)sc3n2)cc1
ZINC_135,CCCOc1ccc(-c2cccc(SC)n2)cc1
ZINC_136,CCCOc1ccc(-c2ccc(CN3CCCC3)cn2)cc1
ZINC_137,CCCOc1ccc(-c2cc(C)c3cc[nH]c3n2)cc1
ZINC_138,CCCOc1ccc(-c2cc(SC)ccn2)cc1
ZINC_139,CCCOc1ccc(-c2ccc3ncsc3n2)cc1
ZINC_140,CCCOc1ccc(-c2ncc(C)c3cc[nH]c23)cc1
ZINC_141,CCCOc1ccc(-c2ncc3cc(F)ccc3n2)cc1
ZINC_142,CCCOc1ccc(-c2ccc(CN(C)C3CC3)cn2)cc1
ZINC_143,CCCOc1ccc(-c2cc(CC(C)C)ncn2)cc1
ZINC_144,CCCOc1ccc(-c2cc(-c3ccco3)ncn2)cc1
