index,Paper,Structure name ,Smiles,Standard Relation,Standard Value,Standard Units,Unnamed: 6,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
129,PMID30621344,6-Benzamido-2-benzyl-4-oxo-36-diazadecanedioic acid,O=C(O)CCCN(CC(=O)NC(Cc1ccccc1)C(=O)O)NC(=O)c1ccccc1,'=',10.64,µM,,ASINYVBWQKRHOG-UHFFFAOYSA-N,427.174336,um,4.973058,0,O=C(O)CCCN(CC(=O)NC(Cc1ccccc1)C(=O)O)NC(=O)c1ccccc1
130,PMID30678364,6-chloro-N-[2-(23-dihydro-1H-cyclopenta[b]quinolin-9-ylamino)ethyl]pyridine-3-carboxamide hydrochloride,O=C(NCCNc1c2c(nc3ccccc13)CCC2)c1ccc(Cl)nc1,'=',0.453,µM,,KWTLKGMYMVYXLB-UHFFFAOYSA-N,366.124739,um,6.343902,1,O=C(NCCNc1c2c(nc3ccccc13)CCC2)c1ccc(Cl)nc1
131,PMID30678364,6-chloro-N-[3-(23-dihydro-1H-cyclopenta[b]quinolin-9-ylamino)butyl]pyridine-3-carboxamide hydrochloride ,CC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2,'=',0.589,µM,,YBBLXQYDLGSUMY-UHFFFAOYSA-N,394.156039,um,6.229885,1,CC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2
132,PMID30678364,6-chloro-N-[3-(23-dihydro-1H-cyclopenta[b]quinolin-9-ylamino)heptyl]pyridine-3-carboxamide hydrochloride ,CCCCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2,'=',0.074,µM,,AHOHXEVNWUMMHB-UHFFFAOYSA-N,436.202989,um,7.130768,1,CCCCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2
133,PMID30678364,6-chloro-N-[3-(23-dihydro-1H-cyclopenta[b]quinolin-9-ylamino)hexyl]pyridine-3-carboxamide hydrochloride ,CCCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2,'=',0.067,µM,,OMYFZXZEKIEKSE-UHFFFAOYSA-N,422.187339,um,7.173925,1,CCCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2
134,PMID30678364,6-chloro-N-[3-(23-dihydro-1H-cyclopenta[b]quinolin-9-ylamino)nonyl]pyridine-3-carboxamide hydrochloride ,CCCCCCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2,'=',0.071,µM,,FGUOKBCGMZTZHU-UHFFFAOYSA-N,464.234289,um,7.148742,1,CCCCCCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2
135,PMID30678364,6-chloro-N-[3-(23-dihydro-1H-cyclopenta[b]quinolin-9-ylamino)octyl]pyridine-3-carboxamide hydrochloride ,CCCCCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2,'=',0.073,µM,,GYFRPFCTQUDRBM-UHFFFAOYSA-N,450.218639,um,7.136677,1,CCCCCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2
136,PMID30678364,6-chloro-N-[3-(23-dihydro-1H-cyclopenta[b]quinolin-9-ylamino)pentyl]pyridine-3-carboxamide hydrochloride ,CCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2,'=',0.162,µM,,SNAAQJWADJZRQV-UHFFFAOYSA-N,408.171689,um,6.790485,1,CCC(CCNC(=O)c1ccc(Cl)nc1)Nc1c2c(nc3ccccc13)CCC2
137,PMID30678364,6-chloro-N-[3-(23-dihydro-1H-cyclopenta[b]quinolin-9-ylamino)propyl]pyridine-3-carboxamide hydrochloride ,O=C(NCCCNc1c2c(nc3ccccc13)CCC2)c1ccc(Cl)nc1,'=',0.245,µM,,MUSWCBQOUSHMDF-UHFFFAOYSA-N,380.140389,um,6.610834,1,O=C(NCCCNc1c2c(nc3ccccc13)CCC2)c1ccc(Cl)nc1
138,PMID30284486,79-Dibromo-2-methyl-110b-dihydro-5H-pyrazolo[15-c][13]benzoxazin-5-one ,CC1=NN2C(=O)Oc3c(Br)cc(Br)cc3C2C1,'=',10.71,µM,,XXARHHJVNYWGQJ-UHFFFAOYSA-N,357.895252,um,4.970211,0,CC1=NN2C(=O)Oc3c(Br)cc(Br)cc3C2C1
139,PMID30621344,9-Amino-26-dibenzyl-47-dioxo-36-diazanonanoic acid,NCCC(=O)N(CC(=O)NC(Cc1ccccc1)C(=O)O)Cc1ccccc1,'=',41.31,µM,,ATSRPURHZHHKEK-UHFFFAOYSA-N,383.184506,um,4.383945,0,NCCC(=O)N(CC(=O)NC(Cc1ccccc1)C(=O)O)Cc1ccccc1
140,PMID30934674,Benzyl (1-(34-dimethylphenyl)-1-oxopropan-2-yl)(methyl)carbamate,Cc1ccc(C(=O)C(C)N(C)C(=O)OCc2ccccc2)cc1C,'=',76.78,µM,,VQRBDKSGGJFNAF-UHFFFAOYSA-N,325.167794,um,4.114752,0,Cc1ccc(C(=O)C(C)N(C)C(=O)OCc2ccccc2)cc1C
141,PMID30934674,Benzyl (1-(3-chlorophenyl)-1-oxopropan-2-yl)(methyl)carbamate,CC(C(=O)c1cccc(Cl)c1)N(C)C(=O)OCc1ccccc1,'=',84.37,µM,,ASCFBOKPSJULKL-UHFFFAOYSA-N,331.097521,um,4.073812,0,CC(C(=O)c1cccc(Cl)c1)N(C)C(=O)OCc1ccccc1
142,PMID30934674,Benzyl (1-(4-bromonaphthalen-1-yl)-1-oxopropan-2-yl)(methyl)carbamate ,CC(C(=O)c1ccc(Br)c2ccccc12)N(C)C(=O)OCc1ccccc1,'=',128.27,µM,,SWBLKFVLPHCHPX-UHFFFAOYSA-N,425.062656,um,3.891875,0,CC(C(=O)c1ccc(Br)c2ccccc12)N(C)C(=O)OCc1ccccc1
143,PMID30934674,Benzyl (1-(4-bromophenyl)-1-oxopropan-2-yl)(methyl)carbamate,CC(C(=O)c1ccc(Br)cc1)N(C)C(=O)OCc1ccccc1,'=',32.01,µM,,FMZZWGAOVZMHJR-UHFFFAOYSA-N,375.047006,um,4.494714,0,CC(C(=O)c1ccc(Br)cc1)N(C)C(=O)OCc1ccccc1
144,PMID30934674,Benzyl (1-(4-chloronaphthalen-1-yl)-1-oxopropan-2-yl)(methyl)carbamate,CC(C(=O)c1ccc(Cl)c2ccccc12)N(C)C(=O)OCc1ccccc1,'=',103.28,µM,,PYWNKOAOMRRISM-UHFFFAOYSA-N,381.113171,um,3.985984,0,CC(C(=O)c1ccc(Cl)c2ccccc12)N(C)C(=O)OCc1ccccc1
145,PMID30934674,Benzyl (1-(4-chlorophenyl)-1-oxopropan-2-yl)(methyl)carbamate ,CC(C(=O)c1ccc(Cl)cc1)N(C)C(=O)OCc1ccccc1,'=',52.83,µM,,XXYMUUCDCHARES-UHFFFAOYSA-N,331.097521,um,4.277119,0,CC(C(=O)c1ccc(Cl)cc1)N(C)C(=O)OCc1ccccc1
146,PMID30934674,Benzyl (1-(4-methoxyphenyl)-1-oxopropan-2-yl)(methyl)carbamate,COc1ccc(C(=O)C(C)N(C)C(=O)OCc2ccccc2)cc1,'=',62.57,µM,,XFWZPVYRZIQEJG-UHFFFAOYSA-N,327.147058,um,4.203634,0,COc1ccc(C(=O)C(C)N(C)C(=O)OCc2ccccc2)cc1
