index,PMID,Chemical Name,Smiles,Standard Value,Standard Units,Standard Relation,Unnamed: 6,Unnamed: 7,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
29,PMID30110946,2-(9-Acridinylamino)-2-oxoethyl 4-(4-(trifluoromethyl)benzyl)piperazine-1-carbodithioate ,O=C(CSC(=S)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1)Nc1c2ccccc2nc2ccccc12,49.129,µM,'=',,,LQAFXOQGTBPSEZ-UHFFFAOYSA-N,554.142188,um,4.308662,0,O=C(CSC(=S)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1)Nc1c2ccccc2nc2ccccc12
30,PMID30567381,(E)-1-(4-Fluoro-2-hydroxy-5-iodophenyl)-3-phenyl-2-propen-1-one,O=C(/C=C/c1ccccc1)c1cc(I)c(F)cc1O,38.78,µM,'=',,,MMEJMJUVYCBROP-VOTSOKGWSA-N,367.970956,um,4.411392,0,O=C(/C=C/c1ccccc1)c1cc(I)c(F)cc1O
31,PMID30567381,(E)-1-(4-Fluoro-2-hydroxy-5-iodophenyl)-3-(p-fluorophenyl)-2-propen-1-one,O=C(/C=C/c1ccc(F)cc1)c1cc(I)c(F)cc1O,16.6,µM,'=',,,FLONFELDBLMDLQ-ZZXKWVIFSA-N,385.961534,um,4.779892,0,O=C(/C=C/c1ccc(F)cc1)c1cc(I)c(F)cc1O
32,PMID30567381,(E)-3-(4-chlorophenyl)-1-(4-fluoro-2-hydroxy-5-iodophenyl)prop-2-en-1-one,O=C(/C=C/c1ccc(Cl)cc1)c1cc(I)c(F)cc1O,10.5,µM,'=',,,QVIYAXOGHVUMHH-ZZXKWVIFSA-N,401.931983,um,4.978811,0,O=C(/C=C/c1ccc(Cl)cc1)c1cc(I)c(F)cc1O
33,PMID30567381,(E)-1-(4-Fluoro-2-hydroxy-5-iodophenyl)-3-(p-methoxyphenyl)-2-propen-1-one,COc1ccc(/C=C/C(=O)c2cc(I)c(F)cc2O)cc1,10.95,µM,'=',,,FMSUPSCNXZIUPJ-QPJJXVBHSA-N,397.98152,um,4.960586,0,COc1ccc(/C=C/C(=O)c2cc(I)c(F)cc2O)cc1
34,PMID30567381,(E)-1-(4-Chloro-2-hydroxy-5-iodophenyl)-3-phenyl-2-propen-1-one,O=C(/C=C/c1ccccc1)c1cc(I)c(Cl)cc1O,10.64,µM,'=',,,FZTXROGREUAKMW-VOTSOKGWSA-N,383.941405,um,4.973058,0,O=C(/C=C/c1ccccc1)c1cc(I)c(Cl)cc1O
35,PMID30567381,(E)-1-(4-Chloro-2-hydroxy-5-iodophenyl)-3-(p-fluorophenyl)-2-propen-1-one,O=C(/C=C/c1ccc(F)cc1)c1cc(I)c(Cl)cc1O,9.57,µM,'=',,,ZIZWGWKDQPDIIV-ZZXKWVIFSA-N,401.931983,um,5.019088,0,O=C(/C=C/c1ccc(F)cc1)c1cc(I)c(Cl)cc1O
36,PMID30567381,(E)-1-(4-Chloro-2-hydroxy-5-iodophenyl)-3-(p-chlorophenyl)-2-propen-1-one,O=C(/C=C/c1ccc(Cl)cc1)c1cc(I)c(Cl)cc1O,11,µM,'=',,,PXXMIPIYKGCHSC-ZZXKWVIFSA-N,417.902433,um,4.958607,0,O=C(/C=C/c1ccc(Cl)cc1)c1cc(I)c(Cl)cc1O
37,PMID30567381,(E)-1-(4-Chloro-2-hydroxy-5-iodophenyl)-3-(p-methoxyphenyl)-2-propen-1-one,COc1ccc(/C=C/C(=O)c2cc(I)c(Cl)cc2O)cc1,11.72,µM,'=',,,QLCWXMQTECDEPJ-QPJJXVBHSA-N,413.95197,um,4.931072,0,COc1ccc(/C=C/C(=O)c2cc(I)c(Cl)cc2O)cc1
38,PMID30567381,(E)-1-(4-Bromo-2-hydroxy-5-iodophenyl)-3-phenyl-2-propen-1-one,O=C(/C=C/c1ccccc1)c1cc(I)c(Br)cc1O,58.14,µM,'=',,,ZEKNQZKYVJIFMD-VOTSOKGWSA-N,427.89089,um,4.235525,0,O=C(/C=C/c1ccccc1)c1cc(I)c(Br)cc1O
39,PMID30567381,(E)-1-(4-Bromo-2-hydroxy-5-iodophenyl)-3-(p-fluorophenyl)-2-propen-1-one,O=C(/C=C/c1ccc(F)cc1)c1cc(I)c(Br)cc1O,10.98,µM,'=',,,SOPWLEVFHSWSKJ-ZZXKWVIFSA-N,445.881468,um,4.959398,0,O=C(/C=C/c1ccc(F)cc1)c1cc(I)c(Br)cc1O
40,PMID30567381,(E)-1-(4-Bromo-2-hydroxy-5-iodophenyl)-3-(p-chlorophenyl)-2-propen-1-one,O=C(/C=C/c1ccc(Cl)cc1)c1cc(I)c(Br)cc1O,11.56,µM,'=',,,NNHZFGGYDMINSE-ZZXKWVIFSA-N,461.851917,um,4.937042,0,O=C(/C=C/c1ccc(Cl)cc1)c1cc(I)c(Br)cc1O
41,PMID30567381,(E)-1-(4-Bromo-2-hydroxy-5-iodophenyl)-3-(p-methoxyphenyl)-2-propen-1-one,COc1ccc(/C=C/C(=O)c2cc(I)c(Br)cc2O)cc1,10.51,µM,'=',,,NCSZPJGGBYCDJX-QPJJXVBHSA-N,457.901454,um,4.978397,0,COc1ccc(/C=C/C(=O)c2cc(I)c(Br)cc2O)cc1
42,PMID30567381,(E)-1-(2-Hydroxy-5-iodo-4-methoxyphenyl)-3-phenylprop-2-en-1-one,COc1cc(O)c(C(=O)/C=C/c2ccccc2)cc1I,10.01,µM,'=',,,JNASXZZLXHIIIU-BQYQJAHWSA-N,379.990942,um,4.999566,0,COc1cc(O)c(C(=O)/C=C/c2ccccc2)cc1I
43,PMID30567381,(E)-3-(4-Fluorophenyl)-1-(2-hydroxy-5-iodo-4-methoxyphenyl)prop-2-en-1-one,COc1cc(O)c(C(=O)/C=C/c2ccc(F)cc2)cc1I,9.38,µM,'=',,,HEQJVGJFFZGZOW-QPJJXVBHSA-N,397.98152,um,5.027797,0,COc1cc(O)c(C(=O)/C=C/c2ccc(F)cc2)cc1I
44,PMID30567381,(E)-3-(4-Chlorophenyl)-1-(2-hydroxy-5-iodo-4-methoxyphenyl)prop-2-en-1-one,COc1cc(O)c(C(=O)/C=C/c2ccc(Cl)cc2)cc1I,11.07,µM,'=',,,VFZSQJZAVRTMLN-QPJJXVBHSA-N,413.95197,um,4.955852,0,COc1cc(O)c(C(=O)/C=C/c2ccc(Cl)cc2)cc1I
45,PMID30567381,(E)-1-(2-Hydroxy-5-iodo-4-methoxyphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one,COc1ccc(/C=C/C(=O)c2cc(I)c(OC)cc2O)cc1,10.96,µM,'=',,,WZBZEXVUPQKLJA-VMPITWQZSA-N,410.001507,um,4.960189,0,COc1ccc(/C=C/C(=O)c2cc(I)c(OC)cc2O)cc1
46,PMID30567381,7-Fluoro-3-hydroxy-6-iodo-2-phenyl-4H-chromen-4-one,O=c1c(O)c(-c2ccccc2)oc2cc(F)c(I)cc12,29.71,µM,'=',,,XKWRLIQHSKYALC-UHFFFAOYSA-N,381.95022,um,4.527097,0,O=c1c(O)c(-c2ccccc2)oc2cc(F)c(I)cc12
47,PMID30567381,7-Fluoro-2-(4-fluorophenyl)-3-hydroxy-6-iodo-4H-chromen-4-one,O=c1c(O)c(-c2ccc(F)cc2)oc2cc(F)c(I)cc12,3.23,µM,'=',,,ZGOGMVHNWUBZGX-UHFFFAOYSA-N,399.940799,um,5.490797,0,O=c1c(O)c(-c2ccc(F)cc2)oc2cc(F)c(I)cc12
48,PMID30567381,2-(4-Chlorophenyl)-7-fluoro-3-hydroxy-6-iodo-4H-chromen-4-one,O=c1c(O)c(-c2ccc(Cl)cc2)oc2cc(F)c(I)cc12,3.45,µM,'=',,,SCFYJLFSWICSOK-UHFFFAOYSA-N,415.911248,um,5.462181,0,O=c1c(O)c(-c2ccc(Cl)cc2)oc2cc(F)c(I)cc12
49,PMID30567381,7-Fluoro-3-hydroxy-6-iodo-2-(4-methoxyphenyl)-4H-chromen-4-one,COc1ccc(-c2oc3cc(F)c(I)cc3c(=O)c2O)cc1,58.18,µM,'=',,,QDZFQISGDFUHMC-UHFFFAOYSA-N,411.960785,um,4.235226,0,COc1ccc(-c2oc3cc(F)c(I)cc3c(=O)c2O)cc1
50,PMID30567381,7-Chloro-3-hydroxy-6-iodo-2-phenyl-4H-chromen-4-one,O=c1c(O)c(-c2ccccc2)oc2cc(Cl)c(I)cc12,47.85,µM,'=',,,QBWCRCBNHQAVMZ-UHFFFAOYSA-N,397.92067,um,4.320118,0,O=c1c(O)c(-c2ccccc2)oc2cc(Cl)c(I)cc12
51,PMID30567381,7-Chloro-2-(4-fluorophenyl)-3-hydroxy-6-iodo-4H-chromen-4-one,O=c1c(O)c(-c2ccc(F)cc2)oc2cc(Cl)c(I)cc12,38.39,µM,'=',,,HJJZLICYBXYUIE-UHFFFAOYSA-N,415.911248,um,4.415782,0,O=c1c(O)c(-c2ccc(F)cc2)oc2cc(Cl)c(I)cc12
52,PMID30567381,7-Chloro-2-(4-chlorophenyl)-3-hydroxy-6-iodo-4H-chromen-4-one ,O=c1c(O)c(-c2ccc(Cl)cc2)oc2cc(Cl)c(I)cc12,59.1,µM,'=',,,LXPFNRXLEYKBQT-UHFFFAOYSA-N,431.881697,um,4.228413,0,O=c1c(O)c(-c2ccc(Cl)cc2)oc2cc(Cl)c(I)cc12
53,PMID30567381,7-Chloro-3-hydroxy-6-iodo-2-(4-methoxyphenyl)-4H-chromen-4-one ,COc1ccc(-c2oc3cc(Cl)c(I)cc3c(=O)c2O)cc1,14.33,µM,'=',,,BQGPLQZJTAUUTJ-UHFFFAOYSA-N,427.931234,um,4.843754,0,COc1ccc(-c2oc3cc(Cl)c(I)cc3c(=O)c2O)cc1
54,PMID30567381,7-Bromo-3-hydroxy-6-iodo-2-phenyl-4H-chromen-4-one,O=c1c(O)c(-c2ccccc2)oc2cc(Br)c(I)cc12,9.96,µM,'=',,,XODOSMJGHSZKEN-UHFFFAOYSA-N,441.870154,um,5.001741,0,O=c1c(O)c(-c2ccccc2)oc2cc(Br)c(I)cc12
55,PMID30567381,7-Bromo-2-(4-fluorophenyl)-3-hydroxy-6-iodo-4H-chromen-4-one,O=c1c(O)c(-c2ccc(F)cc2)oc2cc(Br)c(I)cc12,11.16,µM,'=',,,KGAFTTAHMKZPNN-UHFFFAOYSA-N,459.860732,um,4.952336,0,O=c1c(O)c(-c2ccc(F)cc2)oc2cc(Br)c(I)cc12
56,PMID30567381,7-Bromo-2-(4-chlorophenyl)-3-hydroxy-6-iodo-4H-chromen-4-one ,O=c1c(O)c(-c2ccc(Cl)cc2)oc2cc(Br)c(I)cc12,29.24,µM,'=',,,JZVKPCAPKCVHBF-UHFFFAOYSA-N,475.831182,um,4.534023,0,O=c1c(O)c(-c2ccc(Cl)cc2)oc2cc(Br)c(I)cc12
57,PMID30567381,7-Bromo-3-hydroxy-6-iodo-2-(4-methoxyphenyl)-4H-chromen-4-one ,COc1ccc(-c2oc3cc(Br)c(I)cc3c(=O)c2O)cc1,28.99,µM,'=',fixed,,AYKASAIWJOBKAM-UHFFFAOYSA-N,471.880719,um,4.537752,0,COc1ccc(-c2oc3cc(Br)c(I)cc3c(=O)c2O)cc1
58,PMID30567381,3-Hydroxy-6-iodo-7-methoxy-2-phenyl-4H-chromen-4-one,COc1cc2oc(-c3ccccc3)c(O)c(=O)c2cc1I,9.25,µM,'=',,,IIPOLUZCUTWJEG-UHFFFAOYSA-N,393.970207,um,5.033858,0,COc1cc2oc(-c3ccccc3)c(O)c(=O)c2cc1I
59,PMID30567381,2-(4-Fluorophenyl)-3-hydroxy-6-iodo-7-methoxy-4H-chromen-4-one,COc1cc2oc(-c3ccc(F)cc3)c(O)c(=O)c2cc1I,6.15,µM,'=',,,QPRFKNVNFNMYIH-UHFFFAOYSA-N,411.960785,um,5.211125,0,COc1cc2oc(-c3ccc(F)cc3)c(O)c(=O)c2cc1I
60,PMID30567381,2-(4-Chlorophenyl)-3-hydroxy-6-iodo-7-methoxy-4H-chromen-4-one,COc1cc2oc(-c3ccc(Cl)cc3)c(O)c(=O)c2cc1I,55.27,µM,'=',,,JLBOAOGRZBILHL-UHFFFAOYSA-N,427.931234,um,4.257511,0,COc1cc2oc(-c3ccc(Cl)cc3)c(O)c(=O)c2cc1I
61,PMID30567381,3-Hydroxy-6-iodo-7-methoxy-2-(4-methoxyphenyl)-4H-chromen-4-one ,COc1ccc(-c2oc3cc(OC)c(I)cc3c(=O)c2O)cc1,7.19,µM,'=',,,KZNYVZFDNAOGPE-UHFFFAOYSA-N,423.980772,um,5.143271,0,COc1ccc(-c2oc3cc(OC)c(I)cc3c(=O)c2O)cc1
62,PMID30482062,11-Amino-2-(hydroxymethyl)-12-(p-tolyl)-78910-tetrahydro-15-dioxa-6-aza-4(12H)-naphthacenone,Cc1ccc(C2c3oc(CO)cc(=O)c3Oc3nc4c(c(N)c32)CCCC4)cc1,13.7,µM,'=',,,BFMQJLRUBVGLAI-UHFFFAOYSA-N,390.157957,um,4.863279,0,Cc1ccc(C2c3oc(CO)cc(=O)c3Oc3nc4c(c(N)c32)CCCC4)cc1
63,PMID30482062,11-Amino-2-(hydroxymethyl)-12-(m-methoxyphenyl)-78910-tetrahydro-15-dioxa-6-aza-4(12H)-naphthacenone,COc1cccc(C2c3oc(CO)cc(=O)c3Oc3nc4c(c(N)c32)CCCC4)c1,4.52,µM,'=',,,WNRQWFCOFXBXHF-UHFFFAOYSA-N,406.152872,um,5.344862,0,COc1cccc(C2c3oc(CO)cc(=O)c3Oc3nc4c(c(N)c32)CCCC4)c1
64,PMID30712420,N-(2-((2-(1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-N-(2-(1-benzylpiperidin-4-yl)ethyl)-4-oxo-4H-chromene-2-carboxamide ,O=C(CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12,2.62 ,µM,'=',,,QRGXEYNWKLZQST-UHFFFAOYSA-N,590.289306,um,5.581699,0,O=C(CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12
65,PMID30712420,N-(2-(1-benzylpiperidin-4-yl)ethyl)-N-(2-((2-(5-methoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide,COc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,0.36 ,µM,'=',,,MLVNIDDCINVEAE-UHFFFAOYSA-N,620.29987,um,6.443697,1,COc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
66,PMID30712420,N-(2-(1-benzylpiperidin-4-yl)ethyl)-N-(2-((2-(5-isopropoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide,CC(C)Oc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,2.00 ,µM,'=',,,VAJBTBGMTJLNQY-UHFFFAOYSA-N,648.331171,um,5.69897,0,CC(C)Oc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
67,PMID30712420,N-(2-(1-benzylpiperidin-4-yl)ethyl)-4-oxo-N-(2-oxo-2-((2-(5-propoxy-1H-indol-3-yl)ethyl)amino)ethyl)-4H-chromene-2-carboxamide ,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,2.04 ,µM,'=',,,PSINPWKOVBFESJ-UHFFFAOYSA-N,648.331171,um,5.69037,0,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
68,PMID30712420,N-(4-(1-benzylpiperidin-4-yl)butyl)-N-(2-((2-(5-methoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide ,COc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,1.73 ,µM,'=',,,LHSUEACWFJGZKG-UHFFFAOYSA-N,648.331171,um,5.761954,0,COc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
69,PMID30712420,N-(4-(1-benzylpiperidin-4-yl)butyl)-4-oxo-N-(2-oxo-2-((2-(5-propoxy-1H-indol-3-yl)ethyl)amino)ethyl)-4H-chromene-2-carboxamide ,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,2.10  ,µM,'=',,,CYQBZXXNQBMJEY-UHFFFAOYSA-N,676.362471,um,5.677781,0,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
70,PMID30717208,4-(35-dihydroxyphenoxy)dibenzo-p-dioxin-1368-tetrol,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,10.03,µM,'=',,,PCZZRBGISTUIOA-UHFFFAOYSA-N,372.048132,um,4.998699,0,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1
71,PMID30717208,4-[4-[6-(35-dihydroxyphenoxy)-479-trihydroxydibenzo-p-dioxin-2-yl]oxy-35-dihydroxyphenoxy]dibenzo-p-dioxin-1368-tetrol,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,5.69,µM,'=',,,DRZQFGYIIYNNEC-UHFFFAOYSA-N,742.080614,um,5.244888,0,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1
72,PMID30717208,9-(35-dihydroxyphenoxy)-2-[9-(35-dihydroxyphenoxy)- 1368-tetrahydroxydibenzo-p-dioxin-2-yl]dibenzo-p-dioxin-1368-tetrol,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(cc(O)c(-c4c(O)cc5c(c4O)Oc4c(Oc6cc(O)cc(O)c6)c(O)cc(O)c4O5)c2O)O3)c1,4.59,µM,'=',,,FHYNTHBAMAEFJB-UHFFFAOYSA-N,742.080614,um,5.338187,0,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(cc(O)c(-c4c(O)cc5c(c4O)Oc4c(Oc6cc(O)cc(O)c6)c(O)cc(O)c4O5)c2O)O3)c1
73,PMID30823444,3-(5-amino-134-thiadiazol-2-yl)-1-cyclopropyl-6-fluoro-7-(piperazin-1-yl)quinolin-4(1H)-one,Nc1nnc(-c2cn(C3CC3)c3cc(N4CCNCC4)c(F)cc3c2=O)s1,126.3,nM,'=',,,ODUJKPNSTBJDIA-UHFFFAOYSA-N,386.132508,nm,6.898597,1,Nc1nnc(-c2cn(C3CC3)c3cc(N4CCNCC4)c(F)cc3c2=O)s1
74,PMID30823444,(R)-6-(5-amino-134-thiadiazol-2-yl)-9-fluoro-3-methyl-10-(piperazin-1-yl)-2H-[14]oxazino[234-ij]quinolin- 7(3H)-one,C[C@@H]1COc2c(N3CCNCC3)c(F)cc3c(=O)c(-c4nnc(N)s4)cn1c23,18.1,nM,'=',,,MHHOHJNOYIURAJ-SECBINFHSA-N,402.127423,nm,7.742321,1,C[C@@H]1COc2c(N3CCNCC3)c(F)cc3c(=O)c(-c4nnc(N)s4)cn1c23
75,PMID30823444,(R)-6-(5-amino-134-thiadiazol-2-yl)-9-fluoro-3-methyl-10-(4-methylpiperazin-1-yl)-2H-[14]oxazino[234- ij]quinolin-7(3H)-one,C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(-c4nnc(N)s4)cn1c23,576.3,nM,'=',,,DFNAIZCILWUSMA-SNVBAGLBSA-N,416.143073,nm,6.239351,1,C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(-c4nnc(N)s4)cn1c23
76,PMID30823444,5-(1-(4-isobutylphenyl)ethyl)-134-thiadiazol-2-amine ,CC(C)Cc1ccc(C(C)c2nnc(N)s2)cc1,2241.7,nM,'=',,,WREYPUCHWADYIZ-UHFFFAOYSA-N,261.129969,nm,5.649423,0,CC(C)Cc1ccc(C(C)c2nnc(N)s2)cc1
77,PMID30823444,(S)-5-(1-(6-methoxynaphthalen-2-yl)ethyl)-134-thiadiazol-2-amine,COc1ccc2cc([C@H](C)c3nnc(N)s3)ccc2c1,3806.4,nM,'=',,,RETNEDGSPFFROQ-VIFPVBQESA-N,285.093583,nm,5.419486,0,COc1ccc2cc([C@H](C)c3nnc(N)s3)ccc2c1
78,PMID30823444,5-((2-(4-((4-chlorophenyl)(phenyl)methyl)piperazin-1-yl)ethoxy)methyl)-134-thiadiazol-2-amine,Nc1nnc(COCCN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)s1,17274.8,nM,'=',,,RPGPIJXJIJWOEE-UHFFFAOYSA-N,443.154659,nm,4.762587,0,Nc1nnc(COCCN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)s1
79,PMID30823444,3-(5-amino-134-thiadiazol-2-yl)-1-cyclopropyl-6-fluoro-7-(4-(3-nitrobenzoyl)piperazin-1-yl)qui nolin-4(1H)-one,Nc1nnc(-c2cn(C3CC3)c3cc(N4CCN(C(=O)c5cccc([N+](=O)[O-])c5)CC4)c(F)cc3c2=O)s1,1182.19,nM,'=',,,MCGVPIXOJDALRO-UHFFFAOYSA-N,535.143801,nm,5.927313,0,Nc1nnc(-c2cn(C3CC3)c3cc(N4CCN(C(=O)c5cccc([N+](=O)[O-])c5)CC4)c(F)cc3c2=O)s1
80,PMID30823444,3-(5-amino-134-thiadiazol-2-yl)-1-cyclopropyl-6-fluoro-7-(4-(4-methoxybenzoyl)piperazin-1-yl)quinolin-4(1H) -one,COc1ccc(C(=O)N2CCN(c3cc4c(cc3F)c(=O)c(-c3nnc(N)s3)cn4C3CC3)CC2)cc1,1710.7,nM,'=',,,BUXBALMOXGNUIX-UHFFFAOYSA-N,520.169288,nm,5.766826,0,COc1ccc(C(=O)N2CCN(c3cc4c(cc3F)c(=O)c(-c3nnc(N)s3)cn4C3CC3)CC2)cc1
81,PMID30823444,3-(5-amino-134-thiadiazol-2-yl)-1-cyclopropyl-7-(4-(24-dichlorobenzoyl)piperazin-1-yl)-6-fluoroquinolin- 4(1H)-one,Nc1nnc(-c2cn(C3CC3)c3cc(N4CCN(C(=O)c5ccc(Cl)cc5Cl)CC4)c(F)cc3c2=O)s1,29228,nM,'=',,,WKFNWAMWBIZIFR-UHFFFAOYSA-N,558.080778,nm,4.534201,0,Nc1nnc(-c2cn(C3CC3)c3cc(N4CCN(C(=O)c5ccc(Cl)cc5Cl)CC4)c(F)cc3c2=O)s1
82,PMID30890752,1-[37-Bis(dimethylamino)-10-phenothiazinyl]-3-(3-methyl-2349-tetrahydro-1H-39-diazafluoren-9-yl)-1-propanone trihydrochloride,CN1CCc2c(c3ccccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1,3.17,µM,'=',,,MXXYTIDBZKJPKY-UHFFFAOYSA-N,525.256232,um,5.498941,0,CN1CCc2c(c3ccccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1
83,PMID30890752,1-[37-Bis(dimethylamino)-10-phenothiazinyl]-3-(3-ethyl-2349-tetrahydro-1H-39-diazafluoren-9-yl)-1-propanone trihydrochloride,CCN1CCc2c(c3ccccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1,2.95,µM,'=',,,ZROLWSKEMTZKCM-UHFFFAOYSA-N,539.271882,um,5.530178,0,CCN1CCc2c(c3ccccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1
84,PMID30890752,1-[37-Bis(dimethylamino)-10-phenothiazinyl]-3-(3-methyl-6-methyl-2349-tetrahydro-1H-39-diazafluoren-9-yl)-1-propanone trihydrochloride,Cc1ccc2c(c1)c1c(n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)CCN(C)C1,1.73,µM,'=',,,WCXVDVAWYLXWCB-UHFFFAOYSA-N,539.271882,um,5.761954,0,Cc1ccc2c(c1)c1c(n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)CCN(C)C1
85,PMID30890752,1-[37-Bis(dimethylamino)-10-phenothiazinyl]-3-(3-ethyl-6-methyl-2349-tetrahydro-1H-39-diazafluoren-9-yl)-1-propanone trihydrochloride,CCN1CCc2c(c3cc(C)ccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1,4.03,µM,'=',,,UPSDLJSVYVBXOG-UHFFFAOYSA-N,553.287532,um,5.394695,0,CCN1CCc2c(c3cc(C)ccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1
86,PMID30890752,1-[37-Bis(dimethylamino)-10-phenothiazinyl]-3-(6-methyl-3-propyl-2349-tetrahydro-1H-39-diazafluoren-9-yl)-1-propanone trihydrochloride,CCCN1CCc2c(c3cc(C)ccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1,3.95,µM,'=',,,WUXBZICVGSLYNG-UHFFFAOYSA-N,567.303182,um,5.403403,0,CCCN1CCc2c(c3cc(C)ccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1
87,PMID30890752,1-[37-Bis(dimethylamino)-10-phenothiazinyl]-3-(3-isopropyl-6-methyl-2349-tetrahydro-1H-39-diazafluoren-9-yl)-1-propanone trihydrochloride,Cc1ccc2c(c1)c1c(n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)CCN(C(C)C)C1,7.37,µM,'=',,,XITGFQCVBFFEAZ-UHFFFAOYSA-N,567.303182,um,5.132533,0,Cc1ccc2c(c1)c1c(n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)CCN(C(C)C)C1
88,PMID30890752,1-[37-Bis(dimethylamino)-10-phenothiazinyl]-3-(6-fluoro-3-methyl-2349-tetrahydro-1H-39-diazafluoren-9-yl)-1-propanone trihydrochloride,CN1CCc2c(c3cc(F)ccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1,6.86,µM,'=',,,DEGLESUPMGUXON-UHFFFAOYSA-N,543.24681,um,5.163676,0,CN1CCc2c(c3cc(F)ccc3n2CCC(=O)N2c3ccc(N(C)C)cc3Sc3cc(N(C)C)ccc32)C1
