index,PMID,Chemical Name,Smiles,Standard Value,Standard Units,Standard Relation,Unnamed: 6,Unnamed: 7,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
192,PMID31842463,4-(1H-benzimidazol-2-yl)-6-chlorobenzene-13-diol,Oc1cc(O)c(-c2nc3ccccc3[nH]2)cc1Cl,0.076,µM,'=',,,QDGWYMSFUMMPHF-UHFFFAOYSA-N,260.035255,um,7.119186,1,Oc1cc(O)c(-c2nc3ccccc3[nH]2)cc1Cl
193,PMID31842463,4-(56-Dichloro-1H-benzimidazol-2-yl)-6-chlorobenzene-13-diol,Oc1cc(O)c(-c2nc3cc(Cl)c(Cl)cc3[nH]2)cc1Cl,0.541,µM,'=',,,UNXCXUCSHJWJKA-UHFFFAOYSA-N,327.957311,um,6.266803,1,Oc1cc(O)c(-c2nc3cc(Cl)c(Cl)cc3[nH]2)cc1Cl
194,PMID31842463,4-[6-(Trifluoromethyl)-1H-benzimidazol-2-yl]-2-methylbenzene-13-diol ,Cc1c(O)ccc(-c2nc3ccc(C(F)(F)F)cc3[nH]2)c1O,0.098,µM,'=',,,UJJBCCZKXSJTBI-UHFFFAOYSA-N,308.077262,um,7.008774,1,Cc1c(O)ccc(-c2nc3ccc(C(F)(F)F)cc3[nH]2)c1O
195,PMID31842463,4-(7-Chloro-5-(trifluoromethyl)-1H-benzimidazol-2-yl)-6-ethylbenzene-13-diol,CCc1cc(-c2nc3cc(C(F)(F)F)cc(Cl)c3[nH]2)c(O)cc1O,0.118,µM,'=',,,FQWNFZCICXBACW-UHFFFAOYSA-N,356.05394,um,6.928118,1,CCc1cc(-c2nc3cc(C(F)(F)F)cc(Cl)c3[nH]2)c(O)cc1O
196,PMID31842463,4-(6-Methoxy-1H-benzimidazol-2-yl)-2-methylbenzene-13-diol,COc1ccc2nc(-c3ccc(O)c(C)c3O)[nH]c2c1,0.086,µM,'=',,,RFFVTQQJNJLOAS-UHFFFAOYSA-N,270.100442,um,7.065502,1,COc1ccc2nc(-c3ccc(O)c(C)c3O)[nH]c2c1
197,PMID31842463,4-(6-Methoxy-1H-benzimidazol-2-yl)-6-chlorobenzene-13-diol,COc1ccc2nc(-c3cc(Cl)c(O)cc3O)[nH]c2c1,0.092,µM,'=',,,NQDRODARYQRZCU-UHFFFAOYSA-N,290.04582,um,7.036212,1,COc1ccc2nc(-c3cc(Cl)c(O)cc3O)[nH]c2c1
198,PMID31842463,Ethyl 2-(24-dihydroxy-3-methylphenyl)-1H-benzimidazole-5-carboxylate,CCOC(=O)c1ccc2[nH]c(-c3ccc(O)c(C)c3O)nc2c1,0.184,µM,'=',,,LJHXAKLWJLIAJN-UHFFFAOYSA-N,312.111007,um,6.735182,1,CCOC(=O)c1ccc2[nH]c(-c3ccc(O)c(C)c3O)nc2c1
199,PMID31842463,Ethyl 2-(5-ethyl-24-dihydroxyphenyl)-1H-benzimidazole-5-carboxylate,CCOC(=O)c1ccc2[nH]c(-c3cc(CC)c(O)cc3O)nc2c1,0.962,µM,'=',,,JSDHXOHWQKSLNE-UHFFFAOYSA-N,326.126657,um,6.016825,1,CCOC(=O)c1ccc2[nH]c(-c3cc(CC)c(O)cc3O)nc2c1
200,PMID31842463,4-(6-Nitro-1H-benzimidazol-2-yl)benzene-13-diol,O=[N+]([O-])c1ccc2nc(-c3ccc(O)cc3O)[nH]c2c1,1.487,µM,'=',,,AJHOCTJIPTYGBU-UHFFFAOYSA-N,271.059306,um,5.827689,0,O=[N+]([O-])c1ccc2nc(-c3ccc(O)cc3O)[nH]c2c1
201,PMID31842463,2-Methyl-4-(6-nitro-1H-benzimidazol-2-yl)benzene-13-diol ,Cc1c(O)ccc(-c2nc3ccc([N+](=O)[O-])cc3[nH]2)c1O,1.003,µM,'=',,,NGWKQGHSUQNADO-UHFFFAOYSA-N,285.074956,um,5.998699,0,Cc1c(O)ccc(-c2nc3ccc([N+](=O)[O-])cc3[nH]2)c1O
