ZINC_ID,standard_smiles,Average_kNN_Distance,Inside_AD,AD_Threshold
ZINC_234,CCCOc1ccc(-c2ccc3oc(=O)ccc3c2)cc1,0.604011,TRUE,0.6262255254302902
ZINC_221,CCCOc1ccc(-c2cncc(CN3CCCC3)c2)cc1,0.625354,TRUE,0.6262255254302902
ZINC_108,CCCOc1ccc(-c2nc(C)nc3c2CCCC3)cc1,0.654962,FALSE,0.6262255254302902
ZINC_87,CCCOc1ccc(-c2ncccc2CN2CCCC2)cc1,0.657005,FALSE,0.6262255254302902
