Model-FP,WSM_Score,WSM_Rank,TOPSIS_Score,TOPSIS_Rank,Average_Rank
Morgan_ count,0.989473761,1,0.978807255,1,1
RDKit_topological,0.758874596,3,0.788159572,2,2.5
ECFP4_binary_morgan,0.774385873,2,0.77934715,3,2.5
Atom_pair,0.538259196,4,0.550522135,4,4
Avalon,0.449485067,6,0.418266636,5,5.5
Topological_torsion,0.481668405,5,0.39456526,6,5.5
MACCS_keys,0,7,0,7,7
